ds,y,syl
2019.7.15,10186.96,0.067394002
2019.7.16,10873.5,-0.135722628
2019.7.17,9397.72,0.029428415
2019.7.18,9674.28,0.099674601
2019.7.19,10638.56,-0.009663902
2019.7.20,10535.75,0.021749757
2019.7.21,10764.9,-0.016487845
2019.7.22,10587.41,-0.024915442
2019.7.23,10323.62,-0.04642945
2019.7.24,9844.3,-0.007327083
2019.7.25,9772.17,0.010540136
2019.7.26,9875.17,-0.002685523
2019.7.27,9848.65,-0.038041762
2019.7.28,9473.99,0.005911976
2019.7.29,9530,-0.003008395
2019.7.30,9501.33,0.009240812
2019.7.31,9589.13,0.051680392
2019.8.1,10084.7,0.031976162
2019.8.2,10407.17,0.011759201
2019.8.3,10529.55,0.027068583
2019.8.4,10814.57,0.015318223
2019.8.5,10980.23,0.073564944
2019.8.6,11787.99,-0.027343084
2019.8.7,11465.67,0.04318544
2019.8.8,11960.82,0.002975548
2019.8.9,11996.41,-0.011650986
2019.8.10,11856.64,-0.048447115
2019.8.11,11282.22,0.025227305
2019.8.12,11566.84,-0.01561187
2019.8.13,11386.26,-0.046383975
2019.8.14,10858.12,-0.077468291
2019.8.15,10016.96,0.02847271
2019.8.16,10302.17,0.005559023
2019.8.17,10359.44,-0.013989173
2019.8.18,10214.52,0.010091517
2019.8.19,10317.6,0.058120105
2019.8.20,10917.26,-0.014353418
2019.8.21,10760.56,-0.05865494
2019.8.22,10129.4,-0.001719746
2019.8.23,10111.98,0.029057613
2019.8.24,10405.81,-0.025179203
2019.8.25,10143.8,-0.00086161
2019.8.26,10135.06,0.022221871
2019.8.27,10360.28,-0.01817808
2019.8.28,10171.95,-0.044645324
2019.8.29,9717.82,-0.024004355
2019.8.30,9484.55,0.009851812
2019.8.31,9577.99,0.002391942
2019.9.1,9600.9,0.017591059
2019.9.2,9769.79,0.063138512
2019.9.3,10386.64,0.022591521
2019.9.4,10621.29,-0.003495809
2019.9.5,10584.16,-0.000600898
2019.9.6,10577.8,-0.024610978
2019.9.7,10317.47,0.016451708
2019.9.8,10487.21,-0.007714158
2019.9.9,10406.31,-0.008903252
2019.9.10,10313.66,-0.020616348
2019.9.11,10101.03,0.005770699
2019.9.12,10159.32,0.025674947
2019.9.13,10420.16,-0.005399149
2019.9.14,10363.9,-0.000247976
2019.9.15,10361.33,-0.004912497
2019.9.16,10310.43,-0.004345115
2019.9.17,10265.63,-0.007332234
2019.9.18,10190.36,-0.003215784
2019.9.19,10157.59,0.011645479
2019.9.20,10275.88,-0.01000109
2019.9.21,10173.11,-0.019032528
2019.9.22,9979.49,0.005367008
2019.9.23,10033.05,-0.034851815
2019.9.24,9683.38,-0.116671038
2019.9.25,8553.61,-0.0141905
2019.9.26,8432.23,-0.044660784
2019.9.27,8055.64,0.01716313
2019.9.28,8193.9,0.003795506
2019.9.29,8225,-0.020457143
2019.9.30,8056.74,0.03115404
2019.10.1,8307.74,0.001827212
2019.10.2,8322.92,0.007102075
2019.10.3,8382.03,-0.017401513
2019.10.4,8236.17,-0.009797029
2019.10.5,8155.48,-0.000955186
2019.10.6,8147.69,-0.034113964
2019.10.7,7869.74,0.043493178
2019.10.8,8212.02,-0.002681435
2019.10.9,8190,0.048586081
2019.10.10,8587.92,-0.000118771
2019.10.11,8586.9,-0.036936496
2019.10.12,8269.73,0.00462893
2019.10.13,8308.01,-0.00291887
2019.10.14,8283.76,0.008423711
2019.10.15,8353.54,-0.022910048
2019.10.16,8162.16,-0.019559773
2019.10.17,8002.51,0.009280838
2019.10.18,8076.78,-0.015183031
2019.10.19,7954.15,0.000740494
2019.10.20,7960.04,0.034047568
2019.10.21,8231.06,-0.001037533
2019.10.22,8222.52,-0.023807786
2019.10.23,8026.76,-0.069417797
2019.10.24,7469.56,-0.005044474
2019.10.25,7431.88,0.166163878
2019.10.26,8666.79,0.068423257
2019.10.27,9259.8,0.03150608
2019.10.28,9551.54,-0.034840455
2019.10.29,9218.76,0.023277534
