data,bitebi,gold
2020.6.2,7179.19909,1735.665228
2020.6.3,7191.084354,1747.130692
2020.6.4,7155.847677,1749.716632
2020.6.5,7195.062555,1751.934348
2020.6.6,7193.066385,1754.33959
2020.6.7,7316.57486,1754.33959
2020.6.8,7354.926209,1754.33959
2020.6.9,7372.081093,1760.285598
2020.6.10,7448.808587,1762.291828
2020.6.11,7468.661213,1764.015268
2020.6.12,7552.740209,1765.398775
2020.6.13,7585.140442,1767.006815
2020.6.14,7732.55927,1767.006815
2020.6.15,7784.530396,1767.006815
2020.6.16,7805.409031,1770.848248
2020.6.17,7876.539392,1772.262854
2020.6.18,7882.208191,1773.453204
2020.6.19,7944.38599,1774.362415
2020.6.20,7948.146603,1775.554168
2020.6.21,8061.249584,1775.554168
2020.6.22,8074.347562,1775.554168
2020.6.23,8052.945453,1778.475294
2020.6.24,8079.543177,1779.683732
2020.6.25,8039.566088,1780.713291
2020.6.26,8056.085481,1781.504284
2020.6.27,8015.2197,1782.617937
2020.6.28,8085.701146,1782.617937
