ds,yhat
2017.11.15,1276.810223
2017.11.16,1275.108451
2017.11.17,1273.730545
2017.11.18,1273.730545
2017.11.19,1273.730545
2017.11.20,1269.19638
2017.11.21,1268.007859
2017.11.22,1266.687244
2017.11.23,1265.177027
2017.11.24,1264.040931
2017.11.25,1264.040931
2017.11.26,1264.040931
2017.11.27,1260.539939
2017.11.28,1259.80264
2017.11.29,1258.989554
2017.11.30,1258.045109
2017.12.1,1257.534891
2017.12.2,1257.534891
2017.12.3,1257.534891
2017.12.4,1256.286291
2017.12.5,1256.426771
2017.12.6,1256.554122
2017.12.7,1256.610862
2017.12.8,1257.159577
2017.12.9,1257.159577
2017.12.10,1257.159577
2017.12.11,1259.386407
2017.12.12,1260.762828
2017.12.13,1262.15081
2017.12.14,1263.482773
2017.12.15,1265.310242
2017.12.16,1265.310242
2017.12.17,1265.310242
2017.12.18,1271.272732
2017.12.19,1273.817854
2017.12.20,1276.314349
2017.12.21,1278.681715
2017.12.22,1281.459049
2017.12.22,1281.459049
2017.12.23,1281.459049
2017.12.24,1281.459049
2017.12.25,1281.459049
2017.12.26,1281.459049
2017.12.27,1295.559242
2017.12.28,1298.159483
2017.12.29,1301.02996
2017.12.29,1301.02996
2017.12.30,1301.02996
2017.12.31,1301.02996
2018.1.1,1301.02996
2018.1.2,1311.250141
2018.1.3,1313.536503
2018.1.4,1315.44121
2018.1.5,1317.510978
2018.1.6,1317.510978
2018.1.7,1317.510978
2018.1.8,1322.233538
2018.1.9,1323.736624
2018.1.10,1324.900749
2018.1.11,1325.66584
2018.1.12,1326.595066
2018.1.13,1326.595066
2018.1.14,1326.595066
2018.1.15,1328.050303
2018.1.16,1328.565588
2018.1.17,1328.814924
2018.1.18,1328.749631
2018.1.19,1328.942654
2018.1.20,1328.942654
2018.1.21,1328.942654
2018.1.22,1328.824807
2018.1.23,1329.041216
2018.1.24,1329.106117
2018.1.25,1328.968753
2018.1.26,1329.19797
2018.1.27,1329.19797
2018.1.28,1329.19797
2018.1.29,1329.768949
2018.1.30,1330.376718
2018.1.31,1330.89434
2018.2.1,1331.257558
2018.2.2,1332.020845
2018.2.3,1332.020845
2018.2.4,1332.020845
2018.2.5,1334.243399
2018.2.6,1335.366859
2018.2.7,1336.357664
2018.2.8,1337.137395
2018.2.9,1338.247314
2018.2.10,1338.247314
2018.2.11,1338.247314
2018.2.12,1340.977617
2018.2.13,1342.063209
2018.2.14,1342.90229
2018.2.15,1343.41331
2018.2.16,1344.136574
