date,open,high,low,close,volume,openinterest
2019-01-29,"3,442.80","3,450.10","3,368.20","3,414.80",3442800,0
2019-01-30,"3,414.60","3,479.00","3,394.20","3,460.00",3414600,0
2019-01-31,"3,460.00","3,484.70","3,427.00","3,437.20",3460000,0
2019-02-01,"3,437.70","3,485.70","3,415.30","3,467.90",3437700,0
2019-02-02,"3,467.90","3,514.50","3,447.80","3,502.50",3467900,0
2019-02-03,"3,502.30","3,507.80","3,431.30","3,459.10",3502300,0
2019-02-04,"3,459.00","3,479.70","3,437.10","3,462.80",3459000,0
2019-02-05,"3,463.00","3,485.90","3,450.30","3,468.40",3463000,0
2019-02-06,"3,468.50","3,478.00","3,383.90","3,404.30",3468500,0
2019-02-07,"3,404.90","3,421.80","3,390.30","3,397.70",3404900,0
2019-02-08,"3,397.30","3,721.10","3,382.50","3,661.70",3397300,0
2019-02-09,"3,661.60","3,675.30","3,633.20","3,661.40",3661600,0
2019-02-10,"3,661.00","3,680.60","3,617.10","3,679.00",3661000,0
2019-02-11,"3,678.80","3,681.10","3,623.80","3,631.80",3678800,0
2019-02-12,"3,631.80","3,656.40","3,594.40","3,632.00",3631800,0
2019-02-13,"3,632.00","3,663.50","3,599.20","3,611.50",3632000,0
2019-02-14,"3,611.50","3,624.50","3,580.20","3,592.60",3611500,0
2019-02-15,"3,592.60","3,648.30","3,581.40","3,604.70",3592600,0
2019-02-16,"3,604.70","3,641.90","3,599.70","3,616.80",3604700,0
2019-02-17,"3,616.80","3,689.90","3,607.90","3,664.20",3616800,0
2019-02-18,"3,664.20","3,903.70","3,655.10","3,896.00",3664200,0
2019-02-19,"3,896.40","3,993.80","3,863.70","3,914.30",3896400,0
2019-02-20,"3,914.30","3,983.60","3,881.20","3,972.40",3914300,0
2019-02-21,"3,972.00","4,011.50","3,909.20","3,936.60",3972000,0
2019-02-22,"3,937.40","3,983.10","3,931.70","3,965.20",3937400,0
2019-02-23,"3,965.20","4,152.60","3,939.40","4,120.40",3965200,0
2019-02-24,"4,120.50","4,194.20","3,738.70","3,755.20",4120500,0
2019-02-25,"3,755.70","3,870.70","3,753.80","3,833.70",3755700,0
2019-02-26,"3,833.50","3,845.50","3,775.00","3,810.30",3833500,0
2019-02-27,"3,810.30","3,836.40","3,701.90","3,814.60",3810300,0
2019-02-28,"3,814.60","3,883.70","3,783.30","3,816.60",3814600,0
2019-03-01,"3,816.70","3,855.80","3,816.40","3,821.90",3816700,0
2019-03-02,"3,821.90","3,843.20","3,783.60","3,823.10",3821900,0
2019-03-03,"3,823.20","3,836.60","3,789.70","3,809.50",3823200,0
2019-03-04,"3,809.70","3,828.40","3,681.80","3,715.90",3809700,0
2019-03-05,"3,715.90","3,873.20","3,705.70","3,857.20",3715900,0
2019-03-06,"3,857.20","3,887.30","3,816.70","3,863.00",3857200,0
2019-03-07,"3,863.10","3,907.40","3,847.90","3,875.10",3863100,0
2019-03-08,"3,875.10","3,929.00","3,810.70","3,865.90",3875100,0
2019-03-09,"3,865.60","3,964.00","3,859.70","3,944.30",3865600,0
2019-03-10,"3,944.40","3,944.50","3,889.20","3,915.20",3944400,0
2019-03-11,"3,915.20","3,935.50","3,842.40","3,870.30",3915200,0
2019-03-12,"3,870.30","3,900.10","3,817.10","3,886.00",3870300,0
2019-03-13,"3,885.90","3,894.70","3,847.40","3,865.10",3885900,0
2019-03-14,"3,865.10","3,914.70","3,828.40","3,879.00",3865100,0
2019-03-15,"3,879.00","3,935.70","3,874.80","3,924.30",3879000,0
2019-03-16,"3,924.40","4,050.60","3,923.70","4,006.40",3924400,0
2019-03-17,"4,006.40","4,009.80","3,956.30","3,981.50",4006400,0
2019-03-18,"3,981.50","4,032.30","3,958.50","3,990.20",3981500,0
2019-03-19,"3,990.20","4,029.90","3,972.40","4,017.00",3990200,0
2019-03-20,"4,017.00","4,050.00","3,985.30","4,041.20",4017000,0
2019-03-21,"4,041.20","4,064.00","3,923.80","3,982.20",4041200,0
2019-03-22,"3,982.20","4,005.70","3,971.80","3,990.40",3982200,0
2019-03-23,"3,990.40","4,018.20","3,980.80","4,002.50",3990400,0
2019-03-24,"4,002.60","4,005.70","3,967.00","3,994.70",4002600,0
2019-03-25,"3,994.80","4,000.50","3,897.90","3,937.00",3994800,0
2019-03-26,"3,937.10","3,950.70","3,899.90","3,942.80",3937100,0
2019-03-27,"3,942.80","4,043.30","3,936.20","4,041.70",3942800,0
2019-03-28,"4,041.70","4,041.70","4,008.40","4,025.60",4041700,0
2019-03-29,"4,025.70","4,123.10","4,022.60","4,102.20",4025700,0
2019-03-30,"4,103.70","4,138.10","4,057.10","4,111.80",4103700,0
2019-03-31,"4,111.80","4,121.90","4,082.20","4,102.30",4111800,0
2019-04-01,"4,102.30","4,159.10","4,076.80","4,145.10",4102300,0
2019-04-02,"4,145.10","4,899.60","4,143.50","4,859.30",4145100,0
2019-04-03,"4,859.30","5,278.40","4,814.00","4,968.70",4859300,0
2019-04-04,"4,968.70","5,042.50","4,789.20","4,902.40",4968700,0
2019-04-05,"4,902.50","5,029.40","4,888.30","5,010.20",4902500,0
2019-04-06,"5,010.00","5,198.40","4,947.90","5,046.20",5010000,0
2019-04-07,"5,046.10","5,219.50","5,033.70","5,173.60",5046100,0
2019-04-08,"5,173.50","5,300.60","5,060.50","5,245.20",5173500,0
2019-04-09,"5,245.00","5,245.90","5,095.20","5,158.40",5245000,0
2019-04-10,"5,158.40","5,404.10","5,142.90","5,307.80",5158400,0
2019-04-11,"5,307.70","5,337.00","4,948.00","5,022.60",5307700,0
2019-04-12,"5,022.70","5,080.50","4,889.20","5,054.20",5022700,0
2019-04-13,"5,054.20","5,093.40","5,011.60","5,051.80",5054200,0
2019-04-14,"5,052.00","5,153.50","5,010.70","5,134.80",5052000,0
2019-04-15,"5,135.10","5,168.00","4,964.20","5,032.30",5135100,0
2019-04-16,"5,031.40","5,198.40","5,014.40","5,180.90",5031400,0
2019-04-17,"5,182.10","5,230.90","5,165.50","5,208.30",5182100,0
2019-04-18,"5,208.30","5,293.10","5,205.00","5,264.70",5208300,0
2019-04-19,"5,264.80","5,282.40","5,192.10","5,241.00",5264800,0
2019-04-20,"5,241.00","5,327.00","5,240.20","5,290.20",5241000,0
2019-04-21,"5,290.20","5,308.20","5,189.80","5,243.50",5290200,0
2019-04-22,"5,248.20","5,370.20","5,170.20","5,346.70",5248200,0
2019-04-23,"5,346.50","5,594.40","5,291.40","5,511.60",5346500,0
2019-04-24,"5,511.20","5,589.60","5,346.80","5,415.60",5511200,0
2019-04-25,"5,415.60","5,528.20","5,137.40","5,209.10",5415600,0
2019-04-26,"5,209.20","5,469.30","5,159.30","5,298.30",5209200,0
2019-04-27,"5,298.20","5,318.10","5,225.40","5,265.90",5298200,0
2019-04-28,"5,265.70","5,332.50","5,234.40","5,302.30",5265700,0
2019-04-29,"5,302.40","5,322.90","5,188.90","5,235.00",5302400,0
2019-04-30,"5,235.40","5,336.60","5,195.90","5,320.80",5235400,0
2019-05-01,"5,321.10","5,396.30","5,319.50","5,384.20",5321100,0
2019-05-02,"5,384.60","5,530.80","5,370.00","5,493.80",5384600,0
2019-05-03,"5,493.60","5,844.20","5,478.70","5,766.80",5493600,0
2019-05-04,"5,768.00","5,899.20","5,605.00","5,830.90",5768000,0
2019-05-05,"5,830.80","5,838.20","5,708.20","5,774.90",5830800,0
2019-05-06,"5,775.10","5,801.40","5,630.50","5,745.10",5775100,0
2019-05-07,"5,745.50","6,019.80","5,745.50","5,849.50",5745500,0
2019-05-08,"5,849.40","6,011.30","5,799.10","5,990.30",5849400,0
2019-05-09,"5,990.50","6,206.00","5,990.00","6,191.50",5990500,0
2019-05-10,"6,194.30","6,466.60","6,157.80","6,386.00",6194300,0
2019-05-11,"6,386.60","7,373.80","6,386.50","7,190.30",6386600,0
2019-05-12,"7,190.00","7,518.90","6,802.60","6,984.80",7190000,0
2019-05-13,"6,984.70","8,058.30","6,893.10","7,806.00",6984700,0
2019-05-14,"7,806.40","8,323.90","7,674.00","7,994.60",7806400,0
2019-05-15,"7,994.80","8,225.30","7,856.50","8,164.60",7994800,0
2019-05-16,"8,164.80","8,293.30","7,720.40","7,871.80",8164800,0
2019-05-17,"7,871.90","7,924.00","6,998.60","7,359.50",7871900,0
2019-05-18,"7,359.90","7,458.50","7,189.40","7,262.60",7359900,0
2019-05-19,"7,261.90","8,253.40","7,252.30","8,157.20",7261900,0
2019-05-20,"8,156.40","8,156.40","7,604.00","7,965.30",8156400,0
2019-05-21,"7,965.00","8,056.80","7,813.20","7,930.30",7965000,0
2019-05-22,"7,928.70","7,999.00","7,545.90","7,635.70",7928700,0
2019-05-23,"7,637.20","7,939.10","7,486.80","7,852.10",7637200,0
2019-05-24,"7,852.80","8,124.10","7,775.40","7,970.10",7852800,0
2019-05-25,"7,971.40","8,090.10","7,919.10","8,027.40",7971400,0
2019-05-26,"8,029.60","8,718.60","7,866.50","8,630.20",8029600,0
2019-05-27,"8,628.90","8,902.80","8,607.30","8,760.10",8628900,0
2019-05-28,"8,759.40","8,794.10","8,568.80","8,716.30",8759400,0
2019-05-29,"8,715.60","8,747.20","8,435.30","8,647.80",8715600,0
2019-05-30,"8,647.80","9,045.90","8,054.70","8,271.90",8647800,0
2019-05-31,"8,271.40","8,578.80","8,135.00","8,558.30",8271400,0
2019-06-01,"8,556.90","8,615.80","8,454.00","8,545.70",8556900,0
2019-06-02,"8,545.80","8,807.70","8,534.80","8,728.60",8545800,0
2019-06-03,"8,728.60","8,734.90","8,102.70","8,124.80",8728600,0
2019-06-04,"8,118.10","8,118.10","7,494.00","7,685.50",8118100,0
2019-06-05,"7,685.60","7,885.00","7,590.40","7,779.10",7685600,0
2019-06-06,"7,779.60","7,861.40","7,480.40","7,784.90",7779600,0
2019-06-07,"7,785.80","8,099.40","7,749.40","7,985.20",7785800,0
2019-06-08,"7,985.30","8,044.40","7,770.50","7,901.40",7985300,0
2019-06-09,"7,901.60","7,937.50","7,516.90","7,635.00",7901600,0
2019-06-10,"7,635.00","8,012.80","7,523.60","7,987.80",7635000,0
2019-06-11,"7,987.80","8,010.40","7,714.50","7,888.00",7987800,0
2019-06-12,"7,888.00","8,198.10","7,805.80","8,133.10",7888000,0
2019-06-13,"8,132.40","8,306.10","8,028.60","8,219.00",8132400,0
2019-06-14,"8,218.60","8,685.30","8,153.20","8,656.10",8218600,0
2019-06-15,"8,655.80","8,856.70","8,582.30","8,812.50",8655800,0
2019-06-16,"8,812.20","9,332.00","8,771.10","8,962.50",8812200,0
2019-06-17,"8,961.00","9,438.10","8,959.80","9,318.80",8961000,0
2019-06-18,"9,318.90","9,336.10","8,962.70","9,080.60",9318900,0
2019-06-19,"9,080.70","9,295.10","9,044.00","9,255.40",9080700,0
2019-06-20,"9,255.00","9,583.90","9,188.40","9,517.00",9255000,0
2019-06-21,"9,517.70","10,184.30","9,517.40","10,179.30",9517700,0
2019-06-22,"10,178.10","11,160.50","10,031.30","10,721.70",10178100,0
2019-06-23,"10,721.50","11,361.30","10,557.80","10,897.10",10721500,0
2019-06-24,"10,897.30","11,114.40","10,622.60","11,046.40",10897300,0
2019-06-25,"11,046.60","11,833.90","11,033.70","11,809.90",11046600,0
2019-06-26,"11,811.60","13,929.80","11,747.30","13,063.80",11811600,0
2019-06-27,"13,062.40","13,422.00","10,493.50","11,287.80",13062400,0
2019-06-28,"11,288.40","12,461.80","10,970.50","12,409.10",11288400,0
2019-06-29,"12,408.00","12,422.90","11,490.80","11,906.50",12408000,0
2019-06-30,"11,906.00","12,179.30","10,765.40","10,818.60",11906000,0
2019-07-01,"10,821.40","11,254.50","10,041.60","10,616.60",10821400,0
